"Severidad","Estado","Tipo","ID de la regla","WCAG","Selector","Descripción","Sugerencia de solución","Evidencia","Fuente"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)",".account.dropdown.nav-item > .nav-link[data-toggle=""dropdown""][href=""#""]","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo debido a una imagen de fondo. Contraste esperado: 4.5:1; tamaño: 11.3pt (15px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)",".categories.dropdown.nav-item > .nav-link[data-toggle=""dropdown""][href=""#""]","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo debido a una imagen de fondo. Contraste esperado: 4.5:1; tamaño: 11.3pt (15px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)",".manufacturers.dropdown.nav-item > .nav-link[data-toggle=""dropdown""][href=""#""]","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo debido a una imagen de fondo. Contraste esperado: 4.5:1; tamaño: 11.3pt (15px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","#box-campaign-products > .card-body > .listing.products.columns > article > a[title=""Yellow Duck""][data-id=""1""][data-sku=""RD001""] > .image-wrapper > .sticker.sale[title=""On Sale""]","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el contraste porque el elemento contiene un nodo de imagen. Contraste esperado: 4.5:1; tamaño: 9.0pt (12px); peso: bold.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","#box-campaign-products > .card-body > .listing.products.columns > article > a[title=""Yellow Duck""][data-id=""1""][data-sku=""RD001""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","#box-latest-products > .card-body > .listing.products.columns > article:nth-child(1) > a[title=""Yellow Duck""][data-id=""1""][data-sku=""RD001""] > .image-wrapper > .sticker.sale[title=""On Sale""]","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el contraste porque el elemento contiene un nodo de imagen. Contraste esperado: 4.5:1; tamaño: 9.0pt (12px); peso: bold.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","#box-latest-products > .card-body > .listing.products.columns > article:nth-child(1) > a[title=""Yellow Duck""][data-id=""1""][data-sku=""RD001""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","a[title=""Blue Duck""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","a[title=""Firedog""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
"serio","Fallido","Verificación incompleta","color-contrast","1.4.3 (AA)","a[title=""Geek teddy""] > .info > .manufacturer-name","El contraste no pudo verificarse automáticamente y requiere comprobación manual sobre el estado visual final.","Medir el color de primer plano contra el fondo realmente renderizado, incluidas imágenes y superposiciones. Asegurar al menos 4.5:1 para texto normal o 3:1 para texto grande; ajustar color, fondo u overlay cuando no se cumpla.","No se pudo determinar el color de fondo porque otro elemento se superpone. Contraste esperado: 4.5:1; tamaño: 10.1pt (13.5px); peso: normal.","axe-core 4.10.3"
